,chiapet,hic,hichip,random
0.0,0.00682154513572,0.00743122041056,0.00781865161068,0.0
0.010101010101,0.0136430902714,0.0148624408211,0.0156373032214,0.010101010101
0.020202020202,0.0204646354072,0.0222936612317,0.023455954832,0.020202020202
0.030303030303,0.0272861805429,0.0297248816422,0.0312746064427,0.030303030303
0.040404040404,0.0341077256786,0.0371561020528,0.0390932580534,0.040404040404
0.0505050505051,0.0409292708143,0.0445873224634,0.0469119096641,0.0505050505051
0.0606060606061,0.04775081595,0.0520185428739,0.0547305612748,0.0606060606061
0.0707070707071,0.0545723610858,0.0594497632845,0.0625492128855,0.0707070707071
0.0808080808081,0.0613939062215,0.0668809836951,0.0703678644961,0.0808080808081
0.0909090909091,0.0682154513572,0.0743122041056,0.0781865161068,0.0909090909091
0.10101010101,0.0750369964929,0.0817434245162,0.0860051677175,0.10101010101
0.111111111111,0.0818585416287,0.0891746449267,0.0938238193282,0.111111111111
0.121212121212,0.0886800867644,0.0966058653373,0.101642470939,0.121212121212
0.131313131313,0.0955016319001,0.104037085748,0.10946112255,0.131313131313
0.141414141414,0.102323177036,0.111468306158,0.11727977416,0.141414141414
0.151515151515,0.109144722172,0.118899526569,0.125098425771,0.151515151515
0.161616161616,0.115966267307,0.12633074698,0.132917077382,0.161616161616
0.171717171717,0.122787812443,0.13376196739,0.140735728992,0.171717171717
0.181818181818,0.129609357579,0.141193187801,0.148554380603,0.181818181818
0.191919191919,0.136430902714,0.148624408211,0.156373032214,0.191919191919
0.20202020202,0.14325244785,0.156055628622,0.164191683824,0.20202020202
0.212121212121,0.150073992986,0.163486849032,0.172010335435,0.212121212121
0.222222222222,0.156895538122,0.170918069443,0.179828987046,0.222222222222
0.232323232323,0.163717083257,0.178349289853,0.187647638656,0.232323232323
0.242424242424,0.170538628393,0.185780510264,0.195466290267,0.242424242424
0.252525252525,0.177360173529,0.193211730675,0.203284941878,0.252525252525
0.262626262626,0.184181718664,0.200642951085,0.211103593488,0.262626262626
0.272727272727,0.1910032638,0.208074171496,0.218922245099,0.272727272727
0.282828282828,0.197824808936,0.215505391906,0.22674089671,0.282828282828
0.292929292929,0.204646354072,0.222936612317,0.23455954832,0.292929292929
0.30303030303,0.211467899207,0.230367832727,0.242378199931,0.30303030303
0.313131313131,0.218289444343,0.237799053138,0.250196851542,0.313131313131
0.323232323232,0.225110989479,0.245230273549,0.258015503153,0.323232323232
0.333333333333,0.231932534615,0.252661493959,0.265834154763,0.333333333333
0.343434343434,0.23875407975,0.26009271437,0.273652806374,0.343434343434
0.353535353535,0.245575624886,0.26752393478,0.281471457985,0.353535353535
0.363636363636,0.252397170022,0.274955155191,0.289290109595,0.363636363636
0.373737373737,0.259218715157,0.282386375601,0.297108761206,0.373737373737
0.383838383838,0.266040260293,0.289817596012,0.304927412817,0.383838383838
0.393939393939,0.272861805429,0.297248816422,0.312746064427,0.393939393939
0.40404040404,0.279683350565,0.304680036833,0.320564716038,0.40404040404
0.414141414141,0.2865048957,0.312111257244,0.328383367649,0.414141414141
0.424242424242,0.293326440836,0.319542477654,0.336202019259,0.424242424242
0.434343434343,0.300147985972,0.326973698065,0.34402067087,0.434343434343
0.444444444444,0.306969531107,0.334404918475,0.351839322481,0.444444444444
